iter	Passed	Remaining
0	40	7971
1	44	4427
2	48	3213
3	53	2611
4	57	2249
5	61	2001
6	66	1825
7	70	1692
8	75	1607
9	79	1514
10	84	1448
11	89	1406
12	94	1354
13	98	1309
14	103	1272
15	108	1244
16	113	1219
17	118	1193
18	122	1166
19	126	1140
20	130	1115
21	135	1095
22	139	1073
23	143	1052
24	147	1033
25	151	1015
26	155	999
27	160	984
28	164	972
29	168	956
30	173	943
31	177	929
32	181	917
33	185	904
34	189	892
35	193	881
36	197	870
37	201	861
38	206	850
39	210	842
40	215	834
41	219	826
42	223	817
43	228	810
44	233	803
45	237	795
46	242	787
47	246	780
48	250	773
49	255	766
50	260	759
51	264	752
52	268	745
53	273	738
54	277	732
55	282	726
56	291	730
57	299	733
58	305	730
59	312	729
60	316	721
61	320	714
62	325	706
63	329	699
64	333	692
65	338	686
66	342	680
67	346	673
68	351	667
69	356	661
70	360	655
71	364	648
72	369	643
73	374	637
74	378	631
75	386	631
76	393	628
77	401	627
78	406	623
79	413	620
80	420	618
81	425	612
82	434	612
83	439	606
84	444	601
85	448	595
86	453	589
87	463	589
88	471	588
89	479	585
90	483	579
91	488	573
92	492	566
93	496	560
94	501	553
95	505	547
96	509	541
97	513	534
98	518	529
99	522	522
100	527	516
101	531	510
102	536	504
103	540	498
104	543	492
105	547	485
106	551	479
107	556	473
108	560	467
109	565	462
110	572	459
111	581	456
112	586	451
113	592	446
114	597	441
115	602	436
116	610	432
117	616	428
118	623	424
119	629	419
120	638	416
121	644	411
122	648	405
123	652	400
124	657	394
125	661	388
126	665	382
127	670	377
128	675	371
129	680	366
130	685	361
131	689	355
132	693	349
133	697	343
134	701	337
135	705	331
136	709	326
137	713	320
138	717	314
139	721	309
140	725	303
141	730	298
142	735	293
143	739	287
144	743	281
145	747	276
146	751	271
147	755	265
148	760	260
149	764	254
150	768	249
151	772	243
152	776	238
153	780	233
154	784	227
155	788	222
156	792	217
157	796	211
158	801	206
159	805	201
160	810	196
161	814	191
162	818	185
163	823	180
164	828	175
165	832	170
166	839	165
167	844	160
168	850	155
169	857	151
170	864	146
171	869	141
172	873	136
173	876	131
174	881	125
175	884	120
176	888	115
177	892	110
178	896	105
179	901	100
180	905	95
181	909	89
182	913	84
183	917	79
184	922	74
185	926	69
186	930	64
187	934	59
188	938	54
189	944	49
190	948	44
191	952	39
192	956	34
193	960	29
194	964	24
195	967	19
196	972	14
197	976	9
198	981	4
199	985	0
